Type,Subject,Skill,Taught in year,Level (1-5),Item,Question or text,Choices,Correct answer,Explanation,Reviewer: OK? (Y/N),Reviewer: notes
Question (generated example),maths,Place Value,2,2,place-value:What digit is in the hundreds place of 968?,What digit is in the hundreds place of 968?,,9,"968 is 9 hundreds, 6 tens and 8 ones.",,
Question (generated example),maths,Place Value,2,3,place-value:Round 39 to the nearest 10.,Round 39 to the nearest 10.,,40,"Look at the ones digit (9). 5 or more rounds up, 4 or less rounds down, so 39 → 40.",,
Question (generated example),maths,Place Value,2,3,place-value:Round 80 to the nearest 10.,Round 80 to the nearest 10.,,80,"Look at the ones digit (0). 5 or more rounds up, 4 or less rounds down, so 80 → 80.",,
Question (generated example),maths,Place Value,2,3,place-value:Round 37 to the nearest 10.,Round 37 to the nearest 10.,,40,"Look at the ones digit (7). 5 or more rounds up, 4 or less rounds down, so 37 → 40.",,
Question (generated example),maths,Place Value,2,4,place-value:Round 547 to the nearest 100.,Round 547 to the nearest 100.,,500,"Look at the tens digit (4). 5 or more rounds up, 4 or less rounds down, so 547 → 500.",,
Question (generated example),maths,Place Value,2,4,place-value:Round 277 to the nearest 100.,Round 277 to the nearest 100.,,300,"Look at the tens digit (7). 5 or more rounds up, 4 or less rounds down, so 277 → 300.",,
Question (generated example),maths,Place Value,2,4,place-value:Round 684 to the nearest 100.,Round 684 to the nearest 100.,,700,"Look at the tens digit (8). 5 or more rounds up, 4 or less rounds down, so 684 → 700.",,
Question (generated example),maths,Place Value,2,5,"place-value:What is the value of the digit 8 in 3,286?","What is the value of the digit 8 in 3,286?",,80,"The 8 is in the tens place, so it is worth 80.",,
Question (generated example),maths,Place Value,2,5,"place-value:What is the value of the digit 3 in 7,930?","What is the value of the digit 3 in 7,930?",,30,"The 3 is in the tens place, so it is worth 30.",,
Question (generated example),maths,Place Value,2,5,"place-value:What is the value of the digit 5 in 7,524?","What is the value of the digit 5 in 7,524?",,500,"The 5 is in the hundreds place, so it is worth 500.",,
Question (generated example),maths,Multiplication,3,1,multiplication:10 × 10 = ?,10 × 10 = ?,,100,"10 × 10 means 10 groups of 10, which is 100.",,
Question (generated example),maths,Multiplication,3,1,multiplication:5 × 10 = ?,5 × 10 = ?,,50,"5 × 10 means 10 groups of 5, which is 50.",,
Question (generated example),maths,Multiplication,3,1,multiplication:10 × 9 = ?,10 × 9 = ?,,90,"10 × 9 means 9 groups of 10, which is 90.",,
Question (generated example),maths,Multiplication,3,2,multiplication:3 × 5 = ?,3 × 5 = ?,,15,"3 × 5 means 5 groups of 3, which is 15.",,
Question (generated example),maths,Multiplication,3,2,multiplication:3 × 4 = ?,3 × 4 = ?,,12,"3 × 4 means 4 groups of 3, which is 12.",,
Question (generated example),maths,Multiplication,3,2,multiplication:3 × 5 = ?,3 × 5 = ?,,15,"3 × 5 means 5 groups of 3, which is 15.",,
Question (generated example),maths,Multiplication,3,3,multiplication:8 × 10 = ?,8 × 10 = ?,,80,"8 × 10 means 10 groups of 8, which is 80.",,
Question (generated example),maths,Multiplication,3,3,multiplication:2 × 2 = ?,2 × 2 = ?,,4,"2 × 2 means 2 groups of 2, which is 4.",,
Question (generated example),maths,Multiplication,3,3,multiplication:7 × 7 = ?,7 × 7 = ?,,49,"7 × 7 means 7 groups of 7, which is 49.",,
Question (generated example),maths,Multiplication,3,4,multiplication:10 × 10 = ?,10 × 10 = ?,,100,"10 × 10 means 10 groups of 10, which is 100.",,
Question (generated example),maths,Multiplication,3,4,multiplication:6 × 6 = ?,6 × 6 = ?,,36,"6 × 6 means 6 groups of 6, which is 36.",,
Question (generated example),maths,Multiplication,3,4,multiplication:9 × 7 = ?,9 × 7 = ?,,63,"9 × 7 means 7 groups of 9, which is 63.",,
Question (generated example),maths,Multiplication,3,5,multiplication:50 × 4 = ?,50 × 4 = ?,,200,"Split it up: 50 × 4 = 200, and 0 × 4 = 0. Together: 200.",,
Question (generated example),maths,Multiplication,3,5,multiplication:99 × 3 = ?,99 × 3 = ?,,297,"Split it up: 90 × 3 = 270, and 9 × 3 = 27. Together: 297.",,
Question (generated example),maths,Multiplication,3,5,multiplication:71 × 4 = ?,71 × 4 = ?,,284,"Split it up: 70 × 4 = 280, and 1 × 4 = 4. Together: 284.",,
Question (generated example),maths,Division,3,1,division:100 ÷ 10 = ?,100 ÷ 10 = ?,,10,"Think: what times 10 makes 100? 10 × 10 = 100, so the answer is 10.",,
Question (generated example),maths,Division,3,1,division:16 ÷ 2 = ?,16 ÷ 2 = ?,,8,"Think: what times 2 makes 16? 8 × 2 = 16, so the answer is 8.",,
Question (generated example),maths,Division,3,1,division:2 ÷ 2 = ?,2 ÷ 2 = ?,,1,"Think: what times 2 makes 2? 1 × 2 = 2, so the answer is 1.",,
Question (generated example),maths,Division,3,2,division:24 ÷ 3 = ?,24 ÷ 3 = ?,,8,"Think: what times 3 makes 24? 8 × 3 = 24, so the answer is 8.",,
Question (generated example),maths,Division,3,2,division:21 ÷ 3 = ?,21 ÷ 3 = ?,,7,"Think: what times 3 makes 21? 7 × 3 = 21, so the answer is 7.",,
Question (generated example),maths,Division,3,2,division:15 ÷ 3 = ?,15 ÷ 3 = ?,,5,"Think: what times 3 makes 15? 5 × 3 = 15, so the answer is 5.",,
Question (generated example),maths,Division,3,3,division:35 ÷ 5 = ?,35 ÷ 5 = ?,,7,"Think: what times 5 makes 35? 7 × 5 = 35, so the answer is 7.",,
Question (generated example),maths,Division,3,3,division:56 ÷ 8 = ?,56 ÷ 8 = ?,,7,"Think: what times 8 makes 56? 7 × 8 = 56, so the answer is 7.",,
Question (generated example),maths,Division,3,3,division:15 ÷ 5 = ?,15 ÷ 5 = ?,,3,"Think: what times 5 makes 15? 3 × 5 = 15, so the answer is 3.",,
Question (generated example),maths,Division,3,4,division:108 ÷ 9 = ?,108 ÷ 9 = ?,,12,"Think: what times 9 makes 108? 12 × 9 = 108, so the answer is 12.",,
Question (generated example),maths,Division,3,4,division:72 ÷ 9 = ?,72 ÷ 9 = ?,,8,"Think: what times 9 makes 72? 8 × 9 = 72, so the answer is 8.",,
Question (generated example),maths,Division,3,4,division:64 ÷ 8 = ?,64 ÷ 8 = ?,,8,"Think: what times 8 makes 64? 8 × 8 = 64, so the answer is 8.",,
Question (generated example),maths,Division,3,5,division:160 ÷ 8 = ?,160 ÷ 8 = ?,,20,"Think: what times 8 makes 160? 20 × 8 = 160, so the answer is 20.",,
Question (generated example),maths,Division,3,5,division:57 ÷ 3 = ?,57 ÷ 3 = ?,,19,"Think: what times 3 makes 57? 19 × 3 = 57, so the answer is 19.",,
Question (generated example),maths,Division,3,5,division:88 ÷ 8 = ?,88 ÷ 8 = ?,,11,"Think: what times 8 makes 88? 11 × 8 = 88, so the answer is 11.",,
Question (generated example),maths,Fractions,4,1,fractions:What is half of 6?,What is half of 6?,,3,Half means split into 2 equal parts: 6 ÷ 2 = 3.,,
Question (generated example),maths,Fractions,4,1,fractions:What is half of 14?,What is half of 14?,,7,Half means split into 2 equal parts: 14 ÷ 2 = 7.,,
Question (generated example),maths,Fractions,4,1,fractions:What is half of 18?,What is half of 18?,,9,Half means split into 2 equal parts: 18 ÷ 2 = 9.,,
Question (generated example),maths,Fractions,4,2,fractions:What is 1/4 of 20?,What is 1/4 of 20?,,5,1/4 means split into 4 equal parts: 20 ÷ 4 = 5.,,
Question (generated example),maths,Fractions,4,2,fractions:What is 1/4 of 24?,What is 1/4 of 24?,,6,1/4 means split into 4 equal parts: 24 ÷ 4 = 6.,,
Question (generated example),maths,Fractions,4,2,fractions:What is 1/3 of 21?,What is 1/3 of 21?,,7,1/3 means split into 3 equal parts: 21 ÷ 3 = 7.,,
Question (generated example),maths,Fractions,4,3,fractions:What is 2/6 of 30?,What is 2/6 of 30?,,10,First find 1/6: 30 ÷ 6 = 5. Then take 2 of those parts: 5 × 2 = 10.,,
Question (generated example),maths,Fractions,4,3,fractions:What is 2/3 of 15?,What is 2/3 of 15?,,10,First find 1/3: 15 ÷ 3 = 5. Then take 2 of those parts: 5 × 2 = 10.,,
Question (generated example),maths,Fractions,4,3,fractions:What is 2/3 of 18?,What is 2/3 of 18?,,12,First find 1/3: 18 ÷ 3 = 6. Then take 2 of those parts: 6 × 2 = 12.,,
Question (generated example),maths,Fractions,4,4,fractions:Which fraction is bigger?,Which fraction is bigger?,1/10 | 8/10,8/10,"Both are split into 10 parts, so the one with more parts (8/10) is bigger.",,
Question (generated example),maths,Fractions,4,4,fractions:Which fraction is bigger?,Which fraction is bigger?,2/8 | 6/8,6/8,"Both are split into 8 parts, so the one with more parts (6/8) is bigger.",,
Question (generated example),maths,Fractions,4,4,fractions:Which fraction is bigger?,Which fraction is bigger?,1/3 | 1/8,1/3,"With 1 part each, fewer pieces means bigger pieces, so 1/3 is bigger.",,
Question (generated example),maths,Fractions,4,5,fractions:2/7 + 2/7 = ?  (write it like 3/4),2/7 + 2/7 = ?  (write it like 3/4),,4/7,"The bottoms match, so add the tops: 2 + 2 = 4, giving 4/7.",,
Question (generated example),maths,Fractions,4,5,fractions:4/10 + 5/10 = ?  (write it like 3/4),4/10 + 5/10 = ?  (write it like 3/4),,9/10,"The bottoms match, so add the tops: 4 + 5 = 9, giving 9/10.",,
Question (generated example),maths,Fractions,4,5,fractions:2/8 + 4/8 = ?  (write it like 3/4),2/8 + 4/8 = ?  (write it like 3/4),,3/4,"The bottoms match, so add the tops: 2 + 4 = 6, giving 6/8. That simplifies to 3/4.",,
Question (generated example),maths,Negative Numbers,6,1,negative-numbers:What is 3 − 5?,What is 3 − 5?,,−2,Start at 3 and count back 5. You pass 0 and land on −2.,,
Question (generated example),maths,Negative Numbers,6,1,negative-numbers:What is 3 − 8?,What is 3 − 8?,,−5,Start at 3 and count back 8. You pass 0 and land on −5.,,
Question (generated example),maths,Negative Numbers,6,1,negative-numbers:What is 1 − 7?,What is 1 − 7?,,−6,Start at 1 and count back 7. You pass 0 and land on −6.,,
Question (generated example),maths,Negative Numbers,6,2,negative-numbers:The temperature is −3 °C. It rises by 11 °C. What is the temperature now?,The temperature is −3 °C. It rises by 11 °C. What is the temperature now?,,8,Count up 11 from −3: −3 + 11 = 8 °C.,,
Question (generated example),maths,Negative Numbers,6,2,negative-numbers:The temperature is −7 °C. It rises by 6 °C. What is the temperature now?,The temperature is −7 °C. It rises by 6 °C. What is the temperature now?,,−1,Count up 6 from −7: −7 + 6 = −1 °C.,,
Question (generated example),maths,Negative Numbers,6,2,negative-numbers:The temperature is −7 °C. It rises by 9 °C. What is the temperature now?,The temperature is −7 °C. It rises by 9 °C. What is the temperature now?,,2,Count up 9 from −7: −7 + 9 = 2 °C.,,
Question (generated example),maths,Negative Numbers,6,3,negative-numbers:What is the difference between −3 °C and 2 °C?,What is the difference between −3 °C and 2 °C?,,5,"From −3 up to 0 is 3, then 0 up to 2 is 2. Together: 3 + 2 = 5.",,
Question (generated example),maths,Negative Numbers,6,3,negative-numbers:What is the difference between −9 °C and 3 °C?,What is the difference between −9 °C and 3 °C?,,12,"From −9 up to 0 is 9, then 0 up to 3 is 3. Together: 9 + 3 = 12.",,
Question (generated example),maths,Negative Numbers,6,3,negative-numbers:What is the difference between −5 °C and 12 °C?,What is the difference between −5 °C and 12 °C?,,17,"From −5 up to 0 is 5, then 0 up to 12 is 12. Together: 5 + 12 = 17.",,
Question (generated example),maths,Negative Numbers,6,4,negative-numbers:What is −7 + 5?,What is −7 + 5?,,−2,Start at −7 and count up 5: −2.,,
Question (generated example),maths,Negative Numbers,6,4,negative-numbers:What is 10 − 26?,What is 10 − 26?,,−16,"26 is 16 more than 10, so 10 − 26 = −16.",,
Question (generated example),maths,Negative Numbers,6,4,negative-numbers:What is 13 − 29?,What is 13 − 29?,,−16,"29 is 16 more than 13, so 13 − 29 = −16.",,
Question (generated example),maths,Negative Numbers,6,5,negative-numbers:A submarine is at −116 m (below sea level). It rises 157 m. What is its new position in metres?,A submarine is at −116 m (below sea level). It rises 157 m. What is its new position in metres?,,41,−116 + 157 = 41 m.,,
Question (generated example),maths,Negative Numbers,6,5,negative-numbers:A submarine is at −99 m (below sea level). It rises 150 m. What is its new position in metres?,A submarine is at −99 m (below sea level). It rises 150 m. What is its new position in metres?,,51,−99 + 150 = 51 m.,,
Question (generated example),maths,Negative Numbers,6,5,negative-numbers:A freezer is at −20 °C and the kitchen is 20 °C. How many degrees warmer is the kitchen?,A freezer is at −20 °C and the kitchen is 20 °C. How many degrees warmer is the kitchen?,,40,"From −20 to 0 is 20, and from 0 to 20 is 20: 20 + 20 = 40 degrees.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,1,factors-primes:What is the next prime number after 18?,What is the next prime number after 18?,,19,A prime number has exactly two factors: 1 and itself. The next one after 18 is 19.,,
Question (generated example),maths,"Factors, Multiples & Primes",6,1,factors-primes:What is the next prime number after 20?,What is the next prime number after 20?,,23,"A prime number has exactly two factors: 1 and itself. The next one after 20 is 23 (21, 22 are not prime).",,
Question (generated example),maths,"Factors, Multiples & Primes",6,1,factors-primes:What is the next prime number after 9?,What is the next prime number after 9?,,11,A prime number has exactly two factors: 1 and itself. The next one after 9 is 11 (10 is not prime).,,
Question (generated example),maths,"Factors, Multiples & Primes",6,2,factors-primes:How many factors does 38 have?,How many factors does 38 have?,,4,"The factors of 38 are 1, 2, 19, 38. That is 4 factors.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,2,factors-primes:How many factors does 36 have?,How many factors does 36 have?,,9,"The factors of 36 are 1, 2, 3, 4, 6, 9, 12, 18, 36. That is 9 factors.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,2,factors-primes:How many factors does 37 have?,How many factors does 37 have?,,2,"The factors of 37 are 1, 37. That is 2 factors.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,3,factors-primes:What is the highest common factor (HCF) of 6 and 2?,What is the highest common factor (HCF) of 6 and 2?,,2,"Factors of 6: 1, 2, 3, 6. Factors of 2: 1, 2. The highest one in both lists is 2.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,3,factors-primes:What is the highest common factor (HCF) of 12 and 20?,What is the highest common factor (HCF) of 12 and 20?,,4,"Factors of 12: 1, 2, 3, 4, 6, 12. Factors of 20: 1, 2, 4, 5, 10, 20. The highest one in both lists is 4.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,3,factors-primes:What is the highest common factor (HCF) of 8 and 32?,What is the highest common factor (HCF) of 8 and 32?,,8,"Factors of 8: 1, 2, 4, 8. Factors of 32: 1, 2, 4, 8, 16, 32. The highest one in both lists is 8.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,4,factors-primes:What is the lowest common multiple (LCM) of 8 and 9?,What is the lowest common multiple (LCM) of 8 and 9?,,72,"Multiples of 8: 8, 16, 24, 32, 40, 48, 56, 64, 72. Multiples of 9: 9, 18, 27, 36, 45, 54, 63, 72. The first one in both lists is 72.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,4,factors-primes:What is the lowest common multiple (LCM) of 9 and 2?,What is the lowest common multiple (LCM) of 9 and 2?,,18,"Multiples of 9: 9, 18. Multiples of 2: 2, 4, 6, 8, 10, 12, 14, 16, 18. The first one in both lists is 18.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,4,factors-primes:What is the lowest common multiple (LCM) of 2 and 7?,What is the lowest common multiple (LCM) of 2 and 7?,,14,"Multiples of 2: 2, 4, 6, 8, 10, 12, 14. Multiples of 7: 7, 14. The first one in both lists is 14.",,
Question (generated example),maths,"Factors, Multiples & Primes",6,5,factors-primes:What is the next prime number after 61?,What is the next prime number after 61?,,67,"A prime number has exactly two factors: 1 and itself. The next one after 61 is 67 (62, 63, 64, 65, 66 are not prime).",,
Question (generated example),maths,"Factors, Multiples & Primes",6,5,factors-primes:What is the next prime number after 100?,What is the next prime number after 100?,,101,A prime number has exactly two factors: 1 and itself. The next one after 100 is 101.,,
Question (generated example),maths,"Factors, Multiples & Primes",6,5,factors-primes:What is the next prime number after 78?,What is the next prime number after 78?,,79,A prime number has exactly two factors: 1 and itself. The next one after 78 is 79.,,
Question (generated example),maths,Order of Operations,6,1,order-of-operations:6 + 5 × 6 = ?,6 + 5 × 6 = ?,,36,"Brackets first, then × and ÷, then + and −. 5 × 6 = 30, then 6 + 30 = 36.",,
Question (generated example),maths,Order of Operations,6,1,order-of-operations:17 + 8 × 2 = ?,17 + 8 × 2 = ?,,33,"Brackets first, then × and ÷, then + and −. 8 × 2 = 16, then 17 + 16 = 33.",,
Question (generated example),maths,Order of Operations,6,1,order-of-operations:19 + 9 × 5 = ?,19 + 9 × 5 = ?,,64,"Brackets first, then × and ÷, then + and −. 9 × 5 = 45, then 19 + 45 = 64.",,
Question (generated example),maths,Order of Operations,6,2,order-of-operations:28 + 12 ÷ 4 = ?,28 + 12 ÷ 4 = ?,,31,"Brackets first, then × and ÷, then + and −. 12 ÷ 4 = 3, then 28 + 3 = 31.",,
Question (generated example),maths,Order of Operations,6,2,order-of-operations:13 + 24 ÷ 8 = ?,13 + 24 ÷ 8 = ?,,16,"Brackets first, then × and ÷, then + and −. 24 ÷ 8 = 3, then 13 + 3 = 16.",,
Question (generated example),maths,Order of Operations,6,2,order-of-operations:2 × 2 − 2 = ?,2 × 2 − 2 = ?,,2,"Brackets first, then × and ÷, then + and −. 2 × 2 = 4, then 4 − 2 = 2.",,
Question (generated example),maths,Order of Operations,6,3,order-of-operations:(14 − 3) × 8 = ?,(14 − 3) × 8 = ?,,88,"Brackets first, then × and ÷, then + and −. 14 − 3 = 11, then 11 × 8 = 88.",,
Question (generated example),maths,Order of Operations,6,3,order-of-operations:(9 − 7) × 3 = ?,(9 − 7) × 3 = ?,,6,"Brackets first, then × and ÷, then + and −. 9 − 7 = 2, then 2 × 3 = 6.",,
Question (generated example),maths,Order of Operations,6,3,order-of-operations:(20 − 8) × 6 = ?,(20 − 8) × 6 = ?,,72,"Brackets first, then × and ÷, then + and −. 20 − 8 = 12, then 12 × 6 = 72.",,
Question (generated example),maths,Order of Operations,6,4,order-of-operations:5 × (5 − 3) + 5 = ?,5 × (5 − 3) + 5 = ?,,15,"Brackets first, then × and ÷, then + and −. 5 − 3 = 2, then 5 × 2 = 10, then + 5 = 15.",,
Question (generated example),maths,Order of Operations,6,4,order-of-operations:2 × (9 − 1) + 9 = ?,2 × (9 − 1) + 9 = ?,,25,"Brackets first, then × and ÷, then + and −. 9 − 1 = 8, then 2 × 8 = 16, then + 9 = 25.",,
Question (generated example),maths,Order of Operations,6,4,order-of-operations:9 × (5 − 3) + 1 = ?,9 × (5 − 3) + 1 = ?,,19,"Brackets first, then × and ÷, then + and −. 5 − 3 = 2, then 9 × 2 = 18, then + 1 = 19.",,
Question (generated example),maths,Order of Operations,6,5,order-of-operations:(7 + 5) × 9 − 86 ÷ 2 = ?,(7 + 5) × 9 − 86 ÷ 2 = ?,,65,"Brackets first, then × and ÷, then + and −. (7 + 5) = 12; 12 × 9 = 108; 86 ÷ 2 = 43; 108 − 43 = 65.",,
Question (generated example),maths,Order of Operations,6,5,order-of-operations:(4 + 2) × 7 − 40 ÷ 5 = ?,(4 + 2) × 7 − 40 ÷ 5 = ?,,34,"Brackets first, then × and ÷, then + and −. (4 + 2) = 6; 6 × 7 = 42; 40 ÷ 5 = 8; 42 − 8 = 34.",,
Question (generated example),maths,Order of Operations,6,5,order-of-operations:(5 + 2) × 9 − 36 ÷ 9 = ?,(5 + 2) × 9 − 36 ÷ 9 = ?,,59,"Brackets first, then × and ÷, then + and −. (5 + 2) = 7; 7 × 9 = 63; 36 ÷ 9 = 4; 63 − 4 = 59.",,
Question (generated example),maths,Long Multiplication & Division,6,1,long-multiplication-division:462 × 9 = ?,462 × 9 = ?,,4158,"Multiply each digit of 462 by 9, carrying as you go: 462 × 9 = 4158.",,
